# Time-averaged data for fix 3
# TimeStep c_output_pressure v_lx v_ly v_lz
31000 6142.08 35.4098 158.434 20.5968
32000 69.0515 35.9855 159.721 21.6079
33000 2.15852 36.0611 159.468 21.7299
34000 7.55949 36.0454 159.19 21.7782
35000 -6.49792 36.0127 159.8 21.762
36000 4.64349 36.0287 159.664 21.7347
37000 9.70653 35.9529 159.722 21.8066
38000 -3.16808 35.9615 159.789 21.8004
39000 -4.70951 36.0074 159.737 21.804
40000 9.86763 36.0178 159.616 21.7853
41000 -0.643589 36.136 159.378 21.7702
42000 -2.80209 36.0485 159.683 21.7929
43000 -12.6303 35.9912 159.791 21.8318
44000 24.7214 35.9289 159.961 21.8278
45000 1.96833 35.962 159.893 21.855
46000 -3.65782 35.9696 159.879 21.8582
47000 -3.43486 35.9694 160.002 21.8882
48000 -2.01102 35.9374 160.246 21.9001
49000 4.21654 35.8778 160.323 21.9329
50000 4.85504 35.8683 160.423 21.9265
51000 -4.96726 35.9081 160.319 21.9792
52000 5.6068 35.8577 160.537 22.0092
53000 -8.03461 35.9298 160.487 21.9498
54000 3.84269 35.7796 160.766 22.0021
55000 14.8436 35.9092 160.414 21.9828
56000 -10.0715 35.9714 160.468 21.9867
57000 2.35256 35.8696 160.635 22.0265
58000 10.2003 35.8019 160.848 22.0506
59000 -12.3526 35.8984 160.501 22.0481
60000 4.30336 35.948 160.437 22.0187
61000 9.70502 35.8751 160.892 22.0098
62000 -9.26162 35.8437 160.674 22.0318
63000 1.31793 35.8927 160.331 22.0288
64000 3.33169 35.8642 160.577 22.0214
65000 -6.19232 35.8858 160.637 22.0657
66000 4.39499 35.8181 160.573 22.0762
67000 -8.9064 35.8381 160.687 22.055
68000 16.3234 35.8323 160.692 22.0406
69000 -4.37208 35.8856 160.511 22.0543
70000 10.6721 35.7916 160.836 22.1251
71000 -1.29891 35.89 160.528 22.0538
72000 1.61234 35.7883 160.609 22.1066
73000 -8.63758 35.82 160.586 22.0896
74000 -3.17474 35.7767 160.809 22.0909
75000 8.54444 35.8483 160.517 22.1139
76000 7.64329 35.9061 160.497 22.0611
77000 -5.77085 35.8565 160.546 22.0932
78000 -6.98059 35.8801 160.557 22.0674
79000 17.9133 35.8285 160.575 22.1105
80000 1.5126 35.8319 160.552 22.1174
81000 -1.19009 35.8911 160.52 22.0876
82000 0.726627 35.8884 160.498 22.1032
83000 -7.54715 35.8351 160.711 22.1112
84000 -3.48813 35.8235 160.622 22.105
85000 11.9616 35.8358 160.712 22.1323
86000 -5.0295 35.8987 160.528 22.0456
87000 12.5239 35.8276 160.61 22.0941
88000 1.95299 35.9289 160.501 22.0479
89000 -4.46776 35.8541 160.724 22.1084
90000 2.02377 35.8365 160.525 22.0736
91000 -0.758337 35.7908 160.698 22.1118
92000 8.25104 35.8337 160.556 22.1209
93000 3.77979 35.8573 160.477 22.1264
94000 -15.1781 35.8205 160.648 22.1311
95000 7.65983 35.834 160.615 22.075
96000 7.60937 35.8253 160.712 22.1134
97000 -6.38038 35.767 160.801 22.1199
98000 2.91948 35.8184 160.563 22.0939
99000 3.84127 35.8604 160.562 22.0768
100000 -0.293793 35.8503 160.596 22.0589
101000 -0.384285 35.8814 160.499 22.0918
102000 -0.791227 35.9295 160.405 22.0749
103000 12.2131 35.8324 160.393 22.1173
104000 -5.18108 35.8659 160.605 22.0794
105000 2.51634 35.8643 160.538 22.0806
106000 3.4127 35.9063 160.429 22.0611
107000 1.40812 35.9347 160.246 22.0751
108000 -4.24202 35.9031 160.573 22.068
109000 0.0353839 35.8828 160.457 22.0946
110000 -2.44119 35.8387 160.398 22.1389
111000 -1.83413 35.8482 160.604 22.1345
112000 -1.09078 35.9081 160.404 22.0875
113000 8.59384 35.9035 160.306 22.0964
114000 6.85262 35.8345 160.75 22.107
115000 -10.252 35.9345 160.2 22.0938
116000 17.8429 35.8953 160.519 22.0954
117000 -0.703518 35.8572 160.393 22.1122
118000 -15.5989 35.9469 160.236 22.0788
119000 3.67948 35.9188 160.481 22.0784
120000 2.6789 36.0111 160.072 22.0713
121000 6.08882 35.8903 160.475 22.0965
122000 -3.42078 35.8993 160.532 22.1245
123000 8.58018 35.8708 160.51 22.1052
124000 -2.48471 35.8797 160.408 22.0969
125000 -7.71525 35.8912 160.471 22.0871
126000 9.56585 35.949 160.541 22.0811
127000 -12.1698 35.8477 160.557 22.1265
128000 9.63339 35.8671 160.574 22.1172
129000 1.72309 35.9628 160.37 22.1095
130000 -10.341 35.8922 160.572 22.1233
131000 4.30299 35.9022 160.574 22.1169
132000 -11.3727 35.9209 160.569 22.1528
133000 12.3535 36.0042 160.465 22.1095
134000 1.10391 35.9733 160.424 22.1247
135000 -6.97586 35.9698 160.466 22.1233
136000 19.09 35.9409 160.411 22.151
137000 -6.36142 35.9315 160.516 22.1446
138000 2.47255 35.9101 160.682 22.1476
139000 0.91487 35.8994 160.534 22.1508
140000 -2.09498 35.9696 160.595 22.1433
141000 7.91871 35.8651 160.767 22.2013
142000 -1.96275 35.8844 160.634 22.1707
143000 3.82528 35.9531 160.607 22.1544
144000 3.33039 35.8711 160.786 22.1539
145000 6.48024 35.8941 160.791 22.1362
146000 -3.57083 35.9357 160.643 22.1611
147000 -8.46022 35.9595 160.596 22.1722
148000 13.5447 35.9257 160.742 22.1687
149000 0.22647 35.894 160.641 22.1655
